Genome,Accession,RefSeq type,Source information,Number of segments,Genome length,Number of proteins,Genome Neighbors,Host,Date completed,Date updated,realm,Filename
Polygala garcinii associated virus,NC_037068,complete,isolate:1-1,-,2798,5,-,land plants,02/22/2018,08/13/2018,Monodnaviria,Polygala_garcinii_associated_virus
Pouzolzia golden mosaic virus,NC_023849,complete,isolate:TY01,-,2723,7,3,land plants,03/28/2014,08/13/2018,Monodnaviria,Pouzolzia_golden_mosaic_virus
Pouzolzia mosaic Guangdong virus,NC_038453,complete,isolate:GD1,-,2739,6,-,land plants,08/24/2018,08/24/2018,Monodnaviria,Pouzolzia_mosaic_Guangdong_virus
Premna leaf curl virus,NC_038454,complete,isolate:VN7,-,2753,7,-,land plants,08/24/2018,08/24/2018,Monodnaviria,Premna_leaf_curl_virus
Prunus geminivirus A,NC_043533,complete,isolate:PL4,-,3174,6,20,land plants,06/28/2019,06/28/2019,Monodnaviria,Prunus_geminivirus_A
Radish leaf curl virus,NC_010238,complete,isolate:Varanasi,-,2756,7,7,land plants,01/09/2008,08/13/2018,Monodnaviria,Radish_leaf_curl_virus
Ramie mosaic Yunnan virus,NC_030699,complete,isolate:4819-5,-,2759,6,-,land plants,08/01/2016,08/13/2018,Monodnaviria,Ramie_mosaic_Yunnan_virus
Rice latent virus 1,NC_040792,complete,isolate:AU-NA63-2015,-,2757,4,20,land plants,02/12/2019,09/12/2019,Monodnaviria,Rice_latent_virus_1
Rice latent virus 2,NC_040537,complete,isolate:AU-NA24-2015,-,2843,4,-,land plants,02/12/2019,09/12/2019,Monodnaviria,Rice_latent_virus_2
Rose leaf curl virus,NC_024687,complete,isolate:AS24,-,2741,6,1,land plants,08/13/2014,08/13/2018,Monodnaviria,Rose_leaf_curl_virus
Saccharum streak virus,NC_013464,complete,isolate:SacSV_ZA_Emp_T1_2008,-,2744,3,-,land plants,11/04/2009,08/13/2018,Monodnaviria,Saccharum_streak_virus
Sauropus leaf curl virus,NC_038455,complete,isolate:AFSP5e,-,2762,6,-,land plants,08/24/2018,08/24/2018,Monodnaviria,Sauropus_leaf_curl_virus
Senecio yellow mosaic virus,NC_006995,complete,isolate:G46,-,2746,6,-,land plants,01/20/2005,08/13/2018,Monodnaviria,Senecio_yellow_mosaic_virus
Senna leaf curl virus,NC_030748,complete,isolate:Mohali,-,2742,7,-,land plants,08/16/2016,08/13/2018,Monodnaviria,Senna_leaf_curl_virus
Sida Brazil virus,NC_038887,complete,-,-,2659,5,1,land plants,06/09/2010,08/24/2018,Monodnaviria,Sida_Brazil_virus
Sida common mosaic virus,NC_038457,complete,isolate:BR:Coi4:07,-,2687,5,5,land plants,08/24/2018,08/24/2018,Monodnaviria,Sida_common_mosaic_virus
Sida golden yellow vein virus-[A11],NC_038460,complete,isolate:DNA-AII,-,2603,6,-,land plants,08/24/2018,08/24/2018,Monodnaviria,Sida_golden_yellow_vein_virus-A11
Sida leaf curl virus,NC_007638,complete,isolate:Hn57,-,2757,6,3,land plants,12/05/2005,08/13/2018,Monodnaviria,Sida_leaf_curl_virus
Sida mottle Alagoas virus,NC_020256,complete,isolate:BR:Vsa2:10,-,2649,5,18,land plants,02/11/2013,08/13/2018,Monodnaviria,Sida_mottle_Alagoas_virus
Sida mottle virus,NC_004637,complete,isolate:Brazil,-,2668,6,-,land plants,03/26/2003,08/13/2018,Monodnaviria,Sida_mottle_virus
Sida yellow blotch virus,NC_020254,complete,isolate:BR:Rla1:10,-,2664,5,3,land plants,02/11/2013,08/13/2018,Monodnaviria,Sida_yellow_blotch_virus
Sida yellow leaf curl virus,NC_038461,complete,isolate:BR:Coi3:07,-,2664,5,2,land plants,08/24/2018,08/24/2018,Monodnaviria,Sida_yellow_leaf_curl_virus
Sida yellow mosaic Alagoas virus,NC_020255,complete,isolate:BR:Vsa3:10,-,2690,5,-,land plants,02/11/2013,08/13/2018,Monodnaviria,Sida_yellow_mosaic_Alagoas_virus
Sida yellow mosaic China virus - [Hainan 8],NC_017987,complete,isolate:Hn7,-,2751,6,1,land plants,07/14/2005,08/13/2018,Monodnaviria,Sida_yellow_mosaic_China_virus_-_Hainan_8
Sida yellow net virus,NC_020253,complete,isolate:BR:Vic2:10,-,2676,5,6,land plants,02/11/2013,08/13/2018,Monodnaviria,Sida_yellow_net_virus
Sida yellow vein Vietnam virus,NC_009547,complete,-,-,2753,6,1,land plants,06/08/2007,08/13/2018,Monodnaviria,Sida_yellow_vein_Vietnam_virus
Sidastrum golden leaf spot virus,NC_038462,complete,isolate:DF334,-,2666,3,-,land plants,08/24/2018,08/24/2018,Monodnaviria,Sidastrum_golden_leaf_spot_virus
Siegesbeckia yellow vein Guangxi virus,NC_008317,complete,isolate:G111,-,2784,6,-,land plants,08/30/2006,08/13/2018,Monodnaviria,Siegesbeckia_yellow_vein_Guangxi_virus
Siegesbeckia yellow vein virus,NC_008236,complete,isolate:GD13,-,2768,6,4,land plants,06/30/2006,08/13/2018,Monodnaviria,Siegesbeckia_yellow_vein_virus
Sorghum arundinaceum associated virus,NC_055573,complete,isolate:Reunion-Bassin plat-RE034-2014,-,2881,3,1,land plants,06/01/2021,06/08/2021,Monodnaviria,Sorghum_arundinaceum_associated_virus
Soybean blistering mosaic virus,NC_038463,complete,isolate:NOA,-,2605,6,9,land plants,08/24/2018,08/24/2018,Monodnaviria,Soybean_blistering_mosaic_virus
Soybean crinkle leaf virus,NC_003357,complete,isolate:Japan,-,2737,8,-,land plants,01/05/2002,08/13/2018,Monodnaviria,Soybean_crinkle_leaf_virus
Soybean mild mottle virus,NC_014140,complete,isolate:Sb17,-,2768,6,-,land plants,05/13/2010,08/13/2018,Monodnaviria,Soybean_mild_mottle_virus
Spilanthes yellow vein virus,NC_009545,complete,-,-,2761,6,-,land plants,06/08/2007,08/13/2018,Monodnaviria,Spilanthes_yellow_vein_virus
Spinach curly top Arizona virus,NC_015051,complete,isolate:09-10 spinach,-,2860,5,-,land plants,02/09/2011,08/13/2018,Monodnaviria,Spinach_curly_top_Arizona_virus
Spinach severe curly top virus,NC_014631,complete,strain:Arizona:09-10-8:2009; isolate:09-10-8,-,3065,6,-,land plants,10/25/2010,08/13/2018,Monodnaviria,Spinach_severe_curly_top_virus
Spinach yellow vein Sikar virus,NC_023023,complete,-,-,2753,6,-,land plants,12/12/2013,08/13/2018,Monodnaviria,Spinach_yellow_vein_Sikar_virus
Sporobolus striate mosaic virus 1,NC_018577,complete,isolate:AU-3020_1-2011,-,2789,4,-,land plants,09/10/2012,08/13/2018,Monodnaviria,Sporobolus_striate_mosaic_virus_1
Sporobolus striate mosaic virus 2,NC_018578,complete,isolate:AU-3020_2-2011,-,2716,4,-,land plants,09/10/2012,08/13/2018,Monodnaviria,Sporobolus_striate_mosaic_virus_2
Squash leaf curl China virus,NC_007338,complete,isolate:B,-,2719,2,30,land plants,08/15/2005,08/13/2018,Monodnaviria,Squash_leaf_curl_China_virus
Squash leaf curl China virus - [B],NC_007339,complete,isolate:B,-,2736,6,45,land plants,08/15/2005,08/13/2018,Monodnaviria,Squash_leaf_curl_China_virus_-_B
Squash leaf curl Yunnan virus,NC_004651,complete,isolate:Y23,-,2714,6,4,land plants,01/04/2002,08/13/2018,Monodnaviria,Squash_leaf_curl_Yunnan_virus
Stachytarpheta leaf curl virus,NC_004091,complete,isolate:Hn5,-,2749,6,4,land plants,07/30/2002,08/13/2018,Monodnaviria,Stachytarpheta_leaf_curl_virus
Subterranean clover stunt virus,NC_003812,complete,isolate:F,-,1005,1,-,land plants,07/03/2000,08/24/2018,Monodnaviria,Subterranean_clover_stunt_virus
Sugarcane chlorotic streak virus,NC_032004,complete,isolate:Sc10-SR-1,-,2757,5,11,land plants,12/06/2016,08/13/2018,Monodnaviria,Sugarcane_chlorotic_streak_virus
Sugarcane streak Reunion virus,NC_004755,complete,strain:1,-,2735,4,3,land plants,04/28/2003,08/13/2018,Monodnaviria,Sugarcane_streak_Reunion_virus
Sugarcane streak virus,NC_003744,complete,strain:Natal,-,2758,3,2,land plants,08/03/1993,08/13/2018,Monodnaviria,Sugarcane_streak_virus
Sugarcane striate virus,NC_035179,complete,isolate:SCStV_GP_TC9-3_2013,-,2749,4,173,land plants,07/15/2017,08/13/2018,Monodnaviria,Sugarcane_striate_virus
Sugarcane white streak virus,NC_023989,complete,isolate:SSNV-B [SD-B0069-2013],-,2830,4,7,land plants,04/14/2014,08/13/2018,Monodnaviria,Sugarcane_white_streak_virus
Sunn hemp leaf distortion virus,NC_013019,complete,-,-,2774,2,2,land plants,07/27/2009,08/13/2018,Monodnaviria,Sunn_hemp_leaf_distortion_virus
Sweet potato golden vein Korea virus,NC_043433,complete,isolate:102_SPGVaV,-,2807,6,-,land plants,06/28/2019,06/28/2019,Monodnaviria,Sweet_potato_golden_vein_Korea_virus
Sweet potato golden vein associated virus,NC_015324,complete,isolate:US:MS:1B-3,-,2824,6,6,land plants,04/29/2011,08/13/2018,Monodnaviria,Sweet_potato_golden_vein_associated_virus
Sweet potato leaf curl Bengal virus,NC_013640,complete,isolate:SPLCV-BCKV-India,-,2823,6,-,land plants,09/17/2009,08/13/2018,Monodnaviria,Sweet_potato_leaf_curl_Bengal_virus
Sweet potato leaf curl Canary virus,NC_013465,complete,isolate:ES:CI:BG25:02,-,2807,6,5,land plants,11/06/2009,08/13/2018,Monodnaviria,Sweet_potato_leaf_curl_Canary_virus
Sweet potato leaf curl China virus,NC_038464,complete,-,-,2771,6,-,land plants,08/24/2018,08/24/2018,Monodnaviria,Sweet_potato_leaf_curl_China_virus
Sweet potato leaf curl Georgia virus,NC_004640,complete,isolate:16,-,2773,6,13,land plants,03/26/2003,08/13/2018,Monodnaviria,Sweet_potato_leaf_curl_Georgia_virus
Sweet potato leaf curl Guangxi virus,NC_024693,complete,isolate:China:Guangxi5:2011,-,2831,6,1,land plants,08/13/2014,08/13/2018,Monodnaviria,Sweet_potato_leaf_curl_Guangxi_virus
Sweet potato leaf curl Henan virus,NC_021719,complete,isolate:China:Henan10:2012,-,2766,6,2,land plants,07/10/2013,08/13/2018,Monodnaviria,Sweet_potato_leaf_curl_Henan_virus
Sweet potato leaf curl Hubei virus,NC_055494,complete,isolate:Hubei22-2017,-,2774,6,10,land plants,06/01/2021,06/07/2021,Monodnaviria,Sweet_potato_leaf_curl_Hubei_virus
Sweet potato leaf curl Lanzarote virus,NC_013467,complete,isolate:ES:MAL:BG30:06,-,2814,6,1,land plants,11/06/2009,08/13/2018,Monodnaviria,Sweet_potato_leaf_curl_Lanzarote_virus
Sweet potato leaf curl Sao Paulo virus,NC_025681,complete,strain:Sao Paulo; isolate:SPLCSPV-[BR:AlvM:09],-,2782,6,7,land plants,11/21/2014,08/13/2018,Monodnaviria,Sweet_potato_leaf_curl_Sao_Paulo_virus
Sweet potato leaf curl Shanghai virus,NC_022232,complete,isolate:China:Jilin1:2012,-,2834,6,4,land plants,09/03/2013,08/13/2018,Monodnaviria,Sweet_potato_leaf_curl_Shanghai_virus
Sweet potato leaf curl Sichuan virus 1,NC_038465,complete,isolate:China:Sichuan15:2012,-,2764,6,-,land plants,08/24/2018,08/24/2018,Monodnaviria,Sweet_potato_leaf_curl_Sichuan_virus_1
Sweet potato leaf curl Sichuan virus 2,NC_022586,complete,isolate:China:Sichuan14:2012,-,2786,6,4,land plants,10/28/2013,08/13/2018,Monodnaviria,Sweet_potato_leaf_curl_Sichuan_virus_2
Sweet potato leaf curl South Carolina virus,NC_015317,complete,isolate:US:SC:648B-9,-,2782,6,-,land plants,04/01/2011,08/13/2018,Monodnaviria,Sweet_potato_leaf_curl_South_Carolina_virus
Sweet potato leaf curl Spain virus,NC_011052,complete,isolate:ES:CI:BG1:02,-,2780,6,4,land plants,07/15/2008,08/13/2018,Monodnaviria,Sweet_potato_leaf_curl_Spain_virus
Sweet potato leaf curl Uganda virus-[Uganda:Kampala:2008],NC_014968,complete,isolate:Uganda:Kampala:2008,-,2799,7,-,land plants,01/21/2011,08/13/2018,Monodnaviria,Sweet_potato_leaf_curl_Uganda_virus-UgandaKampala2008
Sweet potato leaf curl virus,NC_004650,complete,-,-,2828,6,130,land plants,03/27/2003,08/13/2018,Monodnaviria,Sweet_potato_leaf_curl_virus
Sweet potato mosaic virus,NC_033334,complete,strain:SPMaV; isolate:KT10BII,-,2781,5,-,land plants,01/18/2017,08/13/2018,Monodnaviria,Sweet_potato_mosaic_virus
Sweet potato mosaic virus - [Brazil:Brasilia1:2007],NC_038466,complete,isolate:BR:BSB1,-,2803,6,10,land plants,08/24/2018,08/24/2018,Monodnaviria,Sweet_potato_mosaic_virus_-_BrazilBrasilia12007
Sweet potato symptomless virus 1,NC_034630,complete,isolate:Z01057b,-,2886,5,24,land plants,05/24/2017,08/13/2018,Monodnaviria,Sweet_potato_symptomless_virus_1
Switchgrass mosaic-associated virus 1,NC_025834,complete,isolate:Cloud Nine,-,2739,4,1,land plants,12/10/2014,08/13/2018,Monodnaviria,Switchgrass_mosaic-associated_virus_1
Synedrella leaf curl virus,NC_031306,complete,isolate:YN3306,-,2749,7,-,land plants,09/30/2016,08/13/2018,Monodnaviria,Synedrella_leaf_curl_virus
Synedrella yellow vein clearing virus,NC_038994,complete,isolate:NCBS-PS-1,-,2751,6,-,land plants,08/24/2018,08/24/2018,Monodnaviria,Synedrella_yellow_vein_clearing_virus
TYLCAxV-Sic1-[IT:Sic2/2:04],NC_011024,complete,isolate:IT:R-2-2,-,2771,6,2,land plants,06/25/2008,08/13/2018,Monodnaviria,TYLCAxV-Sic1-ITSic2204
Tomato yellow leaf curl Axarquia virus,NC_025680,complete,isolate:Homra,-,2763,6,2,land plants,11/19/2014,08/13/2018,Monodnaviria,Tomato_yellow_leaf_curl_Axarquia_virus
Telfairia golden mosaic virus,NC_030403,complete,isolate:Cameroon-Bakundu Bangang-Telfairia-20-14,-,2742,6,-,land plants,06/30/2016,08/25/2018,Monodnaviria,Telfairia_golden_mosaic_virus
Temperate fruit decay-associated virus,NC_027632,complete,isolate:MFB10,-,3442,5,44,land plants,07/28/2015,05/16/2019,Monodnaviria,Temperate_fruit_decay-associated_virus
Tobacco curly shoot virus,NC_003722,complete,isolate:Y41,-,2743,6,36,land plants,04/23/2002,08/13/2018,Monodnaviria,Tobacco_curly_shoot_virus
Tobacco leaf curl Comoros virus,NC_038888,complete,-,-,2755,6,1,land plants,07/26/2007,08/24/2018,Monodnaviria,Tobacco_leaf_curl_Comoros_virus
Tobacco leaf curl Japan virus,NC_004654,complete,-,-,2761,6,2,land plants,03/27/2003,08/13/2018,Monodnaviria,Tobacco_leaf_curl_Japan_virus
Tobacco leaf curl Kochi virus,NC_004641,complete,isolate:KK,-,2760,6,-,land plants,03/26/2003,08/13/2018,Monodnaviria,Tobacco_leaf_curl_Kochi_virus
Tobacco leaf curl Pusa virus,NC_014596,complete,strain:IN:Pusa:Tb:10,-,2707,6,1,land plants,10/15/2010,08/13/2018,Monodnaviria,Tobacco_leaf_curl_Pusa_virus
Tobacco leaf curl Thailand virus,NC_009553,complete,-,-,2752,7,1,land plants,06/11/2007,08/13/2018,Monodnaviria,Tobacco_leaf_curl_Thailand_virus
Tobacco leaf curl Yunnan virus,NC_004356,complete,isolate:Y136,-,2750,6,4,land plants,10/25/2002,08/13/2018,Monodnaviria,Tobacco_leaf_curl_Yunnan_virus
Tobacco leaf curl Zimbabwe virus,NC_002817,complete,-,-,2767,6,1,land plants,07/02/2001,08/13/2018,Monodnaviria,Tobacco_leaf_curl_Zimbabwe_virus
Tobacco leaf curl virus,NC_029994,complete,isolate:KH6,-,2762,6,3,land plants,04/29/2016,08/13/2018,Monodnaviria,Tobacco_leaf_curl_virus
Tobacco leaf rugose virus,NC_038890,complete,-,-,2622,5,-,land plants,06/03/2002,08/24/2018,Monodnaviria,Tobacco_leaf_rugose_virus
Tobacco yellow dwarf virus,NC_003822,complete,-,-,2580,4,9,land plants,08/03/1993,08/13/2018,Monodnaviria,Tobacco_yellow_dwarf_virus
Tomato apical leaf curl virus,NC_036591,complete,isolate:AR:Yuto:Tom420:08,-,2873,6,2,land plants,01/13/2018,08/13/2018,Monodnaviria,Tomato_apical_leaf_curl_virus
Tomato associated geminivirus 1,NC_035676,complete,isolate:Tomato_BR,-,2611,5,1,land plants,08/31/2017,08/13/2018,Monodnaviria,Tomato_associated_geminivirus_1
Tomato bright yellow mosaic virus,NC_038467,complete,isolate:BA167,-,2619,4,-,land plants,08/24/2018,08/24/2018,Monodnaviria,Tomato_bright_yellow_mosaic_virus
Tomato bright yellow mottle virus,NC_038468,complete,isolate:TO167,-,2639,4,-,land plants,08/24/2018,08/24/2018,Monodnaviria,Tomato_bright_yellow_mottle_virus
Tomato chino La Paz virus,NC_005843,complete,isolate:cherryUABCS,-,2606,5,3,land plants,04/13/2004,08/13/2018,Monodnaviria,Tomato_chino_La_Paz_virus
Tomato curly stunt virus,NC_004675,complete,-,-,2766,5,-,land plants,04/03/2003,08/13/2018,Monodnaviria,Tomato_curly_stunt_virus
Tomato enation leaf curl virus,NC_026761,complete,isolate:TC14,-,2756,6,-,land plants,04/04/2015,08/13/2018,Monodnaviria,Tomato_enation_leaf_curl_virus
Tomato golden leaf distortion virus,NC_043122,complete,isolate:TO45,-,2630,-,-,land plants,06/28/2019,06/28/2019,Monodnaviria,Tomato_golden_leaf_distortion_virus
Tomato golden leaf spot virus,NC_021579,complete,isolate:TO83 Araguaina,-,2669,-,-,land plants,06/29/2013,08/13/2018,Monodnaviria,Tomato_golden_leaf_spot_virus
Tomato interveinal chlorosis virus,NC_038469,complete,isolate:PE[BR:Mdc2681:04],-,2617,5,1,land plants,08/24/2018,08/24/2018,Monodnaviria,Tomato_interveinal_chlorosis_virus
Tomato latent virus,NC_038963,complete,isolate:T2+,-,2746,6,-,land plants,08/24/2018,08/24/2018,Monodnaviria,Tomato_latent_virus
Tomato leaf curl Anjouan virus,NC_038894,complete,isolate:Comoros:Ouani:2004,-,2781,6,-,land plants,07/26/2007,08/24/2018,Monodnaviria,Tomato_leaf_curl_Anjouan_virus
Tomato leaf curl Arusha virus,NC_009030,complete,isolate:AFTT23,-,2762,6,-,land plants,02/21/2007,08/13/2018,Monodnaviria,Tomato_leaf_curl_Arusha_virus
Tomato leaf curl Bangalore virus,NC_003891,complete,strain:Indian tomato leaf curl virus (ITmLCV),-,2749,6,14,land plants,08/14/1995,08/13/2018,Monodnaviria,Tomato_leaf_curl_Bangalore_virus
Tomato leaf curl Bangladesh virus,NC_004614,complete,strain:TLCV-BD2,-,2761,6,12,land plants,03/17/2003,08/13/2018,Monodnaviria,Tomato_leaf_curl_Bangladesh_virus
Tomato leaf curl Barka virus,NC_024116,complete,isolate:Tom-55,-,2753,6,6,land plants,05/19/2014,08/13/2018,Monodnaviria,Tomato_leaf_curl_Barka_virus
Tomato leaf curl Burkina Faso virus,NC_033779,complete,isolate:Burkina Faso:Loumbila:Tomate51B1:2013,-,2784,6,-,land plants,02/21/2017,08/13/2018,Monodnaviria,Tomato_leaf_curl_Burkina_Faso_virus
Tomato leaf curl Cameroon virus,NC_013639,complete,isolate:TOS2B1F4,-,2808,9,2,land plants,03/09/2009,08/13/2018,Monodnaviria,Tomato_leaf_curl_Cameroon_virus
Tomato leaf curl Cebu virus,NC_010439,complete,isolate:P134,-,2723,6,4,land plants,03/13/2008,08/13/2018,Monodnaviria,Tomato_leaf_curl_Cebu_virus
Tomato leaf curl China virus,NC_005320,complete,isolate:G32,-,2738,6,10,land plants,01/05/2004,08/13/2018,Monodnaviria,Tomato_leaf_curl_China_virus
Tomato leaf curl China virus - OX2,NC_021205,complete,strain:OX2,-,2744,6,-,land plants,05/13/2013,08/13/2018,Monodnaviria,Tomato_leaf_curl_China_virus_-_OX2
Tomato leaf curl Comoros virus,NC_028114,complete,isolate:Mayote:Dembeni:2003,-,2765,6,1,land plants,03/01/2005,08/13/2018,Monodnaviria,Tomato_leaf_curl_Comoros_virus
Tomato leaf curl Cotabato virus,NC_010441,complete,isolate:GSD1,-,2750,6,1,land plants,03/13/2008,08/13/2018,Monodnaviria,Tomato_leaf_curl_Cotabato_virus
Tomato leaf curl Diana virus,NC_038896,complete,-,-,2745,6,-,land plants,07/26/2007,08/24/2018,Monodnaviria,Tomato_leaf_curl_Diana_virus
Tomato leaf curl Gandhinagar virus,NC_023034,complete,isolate:pToGNAX15,-,2760,6,-,land plants,01/06/2014,08/13/2018,Monodnaviria,Tomato_leaf_curl_Gandhinagar_virus
Tomato leaf curl Ghana virus,NC_010313,complete,isolate:FGH5-3,-,2803,6,1,land plants,02/06/2008,08/13/2018,Monodnaviria,Tomato_leaf_curl_Ghana_virus
Tomato leaf curl Guangdong virus,NC_008373,complete,isolate:G2,-,2744,6,-,land plants,09/27/2006,08/13/2018,Monodnaviria,Tomato_leaf_curl_Guangdong_virus
Tomato leaf curl Guangxi virus,NC_008329,complete,isolate:GX-1,-,2752,6,3,land plants,09/01/2006,08/13/2018,Monodnaviria,Tomato_leaf_curl_Guangxi_virus
Tomato leaf curl Hainan virus,NC_013102,complete,-,-,2748,6,2,land plants,08/10/2009,08/13/2018,Monodnaviria,Tomato_leaf_curl_Hainan_virus
Tomato leaf curl Hanoi virus,NC_015124,complete,isolate:Vietnam/Hanoi/tomato/2010,-,2740,6,-,land plants,02/10/2011,08/13/2018,Monodnaviria,Tomato_leaf_curl_Hanoi_virus
Tomato leaf curl Java virus,NC_005031,complete,-,-,2752,6,-,land plants,07/10/2003,08/13/2018,Monodnaviria,Tomato_leaf_curl_Java_virus
Tomato leaf curl Joydebpur virus,NC_007723,complete,-,-,2761,6,1,land plants,01/13/2006,08/13/2018,Monodnaviria,Tomato_leaf_curl_Joydebpur_virus
Tomato leaf curl Karnataka virus,NC_003897,complete,"strain:Bangalore II, India; isolate:isolate 2",-,2759,6,33,land plants,10/24/1995,08/13/2018,Monodnaviria,Tomato_leaf_curl_Karnataka_virus
Tomato leaf curl Karnataka virus 2,NC_055133,complete,isolate:TC289,-,2772,6,-,land plants,06/01/2021,06/07/2021,Monodnaviria,Tomato_leaf_curl_Karnataka_virus_2
Tomato leaf curl Karnataka virus 3,NC_055134,complete,isolate:TC235,-,2757,6,-,land plants,06/01/2021,06/07/2021,Monodnaviria,Tomato_leaf_curl_Karnataka_virus_3
Tomato leaf curl Kerala virus,NC_011135,complete,isolate:ToLCV-K3,-,2767,6,14,land plants,08/13/2008,08/13/2018,Monodnaviria,Tomato_leaf_curl_Kerala_virus
Tomato leaf curl Kumasi virus,NC_011096,complete,-,-,2794,6,2,land plants,08/01/2008,08/13/2018,Monodnaviria,Tomato_leaf_curl_Kumasi_virus
Tomato leaf curl Laos virus,NC_004613,complete,-,-,2748,6,-,land plants,03/17/2003,08/13/2018,Monodnaviria,Tomato_leaf_curl_Laos_virus
Tomato leaf curl Liwa virus,NC_023312,complete,isolate:LW1,-,2761,6,4,land plants,01/06/2014,08/13/2018,Monodnaviria,Tomato_leaf_curl_Liwa_virus
Tomato leaf curl Madagascar virus-Menabe [Madagascar:Morondova:2001],NC_006874,complete,isolate:Morondova,-,2777,6,-,land plants,03/01/2005,08/13/2018,Monodnaviria,Tomato_leaf_curl_Madagascar_virus-Menabe_MadagascarMorondova2001
Tomato leaf curl Mahe virus,NC_055498,complete,isolate:Seychelles-Pralin-SC8-1b-2017,-,2790,6,8,land plants,06/01/2021,06/07/2021,Monodnaviria,Tomato_leaf_curl_Mahe_virus
Tomato leaf curl Mali virus,NC_005348,complete,-,-,2773,6,1,land plants,01/21/2004,08/13/2018,Monodnaviria,Tomato_leaf_curl_Mali_virus
Tomato leaf curl Mayotte virus,NC_006876,complete,isolate:Kahani,-,2768,6,-,land plants,03/01/2005,08/13/2018,Monodnaviria,Tomato_leaf_curl_Mayotte_virus
Tomato leaf curl Mindanao virus,NC_010440,complete,isolate:P162,-,2761,6,-,land plants,03/13/2008,08/13/2018,Monodnaviria,Tomato_leaf_curl_Mindanao_virus
Tomato leaf curl Moheli virus,NC_038897,complete,-,-,2756,5,-,land plants,07/26/2007,08/24/2018,Monodnaviria,Tomato_leaf_curl_Moheli_virus
Tomato leaf curl Namakely virus,NC_038899,complete,isolate:Madagascar:Namakely:2001,-,2769,6,-,land plants,07/26/2007,08/24/2018,Monodnaviria,Tomato_leaf_curl_Namakely_virus
Tomato leaf curl New Delhi virus 2,NC_038470,complete,isolate:ToLCVIANDS1.1-A,-,2735,6,-,land plants,08/24/2018,08/24/2018,Monodnaviria,Tomato_leaf_curl_New_Delhi_virus_2
Tomato leaf curl New Delhi virus 4,NC_038471,complete,isolate:TC306,-,2739,7,-,land plants,08/24/2018,08/24/2018,Monodnaviria,Tomato_leaf_curl_New_Delhi_virus_4
Tomato leaf curl New Delhi virus 5,NC_055126,incomplete,-,-,2738,7,-,land plants,06/01/2021,06/07/2021,Monodnaviria,Tomato_leaf_curl_New_Delhi_virus_5
Tomato leaf curl Nigeria virus-[Nigeria:2006],NC_012206,complete,-,-,2784,6,-,land plants,03/10/2009,08/13/2018,Monodnaviria,Tomato_leaf_curl_Nigeria_virus-Nigeria2006
Tomato leaf curl Oman virus,NC_014542,complete,isolate:Alb22,-,2763,6,8,land plants,09/25/2010,08/13/2018,Monodnaviria,Tomato_leaf_curl_Oman_virus
Tomato leaf curl Patna virus,NC_012492,complete,-,-,2752,7,7,land plants,04/01/2009,08/13/2018,Monodnaviria,Tomato_leaf_curl_Patna_virus
Tomato leaf curl Philippines virus,NC_005032,complete,-,-,2755,6,20,land plants,07/10/2003,08/13/2018,Monodnaviria,Tomato_leaf_curl_Philippines_virus
Tomato leaf curl Pune virus,NC_008517,complete,sub-species:Tomato leaf curl Pune virus - [India:Pune:2005],-,2756,6,1,land plants,10/24/2006,08/13/2018,Monodnaviria,Tomato_leaf_curl_Pune_virus
Tomato leaf curl Ranchi virus,NC_016965,complete,isolate:Ranchi,-,2762,7,1,land plants,03/09/2012,08/13/2018,Monodnaviria,Tomato_leaf_curl_Ranchi_virus
Tomato leaf curl Seychelles virus,NC_009031,complete,-,-,2742,3,-,land plants,02/10/2007,08/13/2018,Monodnaviria,Tomato_leaf_curl_Seychelles_virus
Tomato leaf curl Sri Lanka virus,NC_004647,complete,-,-,2756,6,-,land plants,03/27/2003,08/13/2018,Monodnaviria,Tomato_leaf_curl_Sri_Lanka_virus
Tomato leaf curl Sudan virus,NC_005855,complete,isolate:ToLCSDV-Gez,-,2779,6,34,land plants,04/15/2004,08/13/2018,Monodnaviria,Tomato_leaf_curl_Sudan_virus
Tomato leaf curl Sulawesi virus,NC_013413,complete,isolate:FI08No1-1,-,2751,6,6,land plants,10/16/2009,08/13/2018,Monodnaviria,Tomato_leaf_curl_Sulawesi_virus
Tomato leaf curl Taiwan virus,NC_003898,complete,strain:Taiwan,-,2739,6,49,land plants,06/12/1997,08/13/2018,Monodnaviria,Tomato_leaf_curl_Taiwan_virus
Tomato leaf curl Toliara virus,NC_038901,complete,-,-,2764,6,-,land plants,07/26/2007,08/24/2018,Monodnaviria,Tomato_leaf_curl_Toliara_virus
Tomato leaf curl Uganda virus - [Iganga],NC_038473,complete,-,-,2747,7,4,land plants,08/24/2018,08/24/2018,Monodnaviria,Tomato_leaf_curl_Uganda_virus_-_Iganga
Tomato leaf curl Vietnam virus,NC_004153,complete,-,-,2745,6,12,land plants,06/02/2001,08/13/2018,Monodnaviria,Tomato_leaf_curl_Vietnam_virus
Tomato leaf curl purple vein virus,NC_035481,complete,isolate:BR:793:15,-,2629,6,2,land plants,08/24/2017,08/13/2018,Monodnaviria,Tomato_leaf_curl_purple_vein_virus
Tomato leaf curl virus,NC_003896,complete,isolate:Australia,-,2766,6,25,land plants,05/08/1993,08/13/2018,Monodnaviria,Tomato_leaf_curl_virus
