## Tue Nov 12 22:27:18 2024
## emapper-2.1.12
## /data/shared/home/emapper/miniconda3/envs/eggnog-mapper-2.1/bin/emapper.py --cpu 20 --mp_start_method forkserver --data_dir /dev/shm/ -o out --output_dir /emapper_web_jobs/emapper_jobs/user_data/MM_w8pxn78v --temp_dir /emapper_web_jobs/emapper_jobs/user_data/MM_w8pxn78v --override -m diamond --dmnd_ignore_warnings --dmnd_algo ctg -i /emapper_web_jobs/emapper_jobs/user_data/MM_w8pxn78v/queries.fasta --evalue 0.001 --score 60 --pident 40 --query_cover 20 --subject_cover 20 --itype proteins --tax_scope 10239 --target_orthologs all --go_evidence non-electronic --pfam_realign none --report_orthologs --decorate_gff yes --excel
##
#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
EXK57_gp2	12168.TGB1_PVMR	1.66e-75	234.0	4QB58@10239|Viruses,4R110@439488|ssRNA viruses,4R0QV@35278|ssRNA positive-strand viruses  no DNA stage,4R1MM@675063|Tymovirales	10239|Viruses	A	host cell cytoplasm	-	GO:0005575,GO:0018995,GO:0020002,GO:0030430,GO:0033643,GO:0033644,GO:0033646,GO:0033647,GO:0033648,GO:0042025,GO:0043656,GO:0043657,GO:0044094,GO:0044156,GO:0044196,GO:0044215,GO:0044216,GO:0044217,GO:0044218,GO:0044219,GO:0044279	-	-	-	-	-	-	-	-	-	-	-
EXK57_gp3	12168.TGB2_PVMR	3.78e-38	130.0	4QDMB@10239|Viruses,4R15U@439488|ssRNA viruses,4R0QP@35278|ssRNA positive-strand viruses  no DNA stage,4R1MN@675063|Tymovirales	10239|Viruses	S	host cell endoplasmic reticulum membrane	-	-	-	-	-	-	-	-	-	-	-	-	-
B359_gp4	223310.MVP_PYMVV	2.62e-65	214.0	4QCWR@10239|Viruses,4QUMY@29258|ssDNA viruses	10239|Viruses	L	host cell endoplasmic reticulum membrane	-	-	-	-	-	-	-	-	-	-	-	-	-
B359_gp3	57119.REP_BEYDV	1.32e-36	134.0	4QB6C@10239|Viruses,4QUKM@29258|ssDNA viruses	10239|Viruses	J	Geminivirus Rep catalytic domain	-	GO:0008150,GO:0016032,GO:0019058,GO:0019079,GO:0039682,GO:0039684,GO:0039687,GO:0039693,GO:0044403,GO:0044419,GO:0051701,GO:0051704	-	-	-	-	-	-	-	-	-	-	-
Clbvgp1	651356.PRO_0000431909	8.17e-133	432.0	4QB47@10239|Viruses,4R10F@439488|ssRNA viruses,4R0R8@35278|ssRNA positive-strand viruses  no DNA stage,4R1MI@675063|Tymovirales	10239|Viruses	A	helicase activity	-	GO:0003674,GO:0003824,GO:0006508,GO:0006807,GO:0008150,GO:0008152,GO:0008233,GO:0008234,GO:0016032,GO:0016787,GO:0019058,GO:0019079,GO:0019538,GO:0039690,GO:0039694,GO:0043170,GO:0044238,GO:0044403,GO:0044419,GO:0051704,GO:0070011,GO:0071704,GO:0140096,GO:1901564	-	-	-	-	-	-	-	-	-	-	-
Clbvgp3	686981.CAPSD_CLBVS	2.07e-261	716.0	4QEY2@10239|Viruses,4R15R@439488|ssRNA viruses,4R0SG@35278|ssRNA positive-strand viruses  no DNA stage,4R1MK@675063|Tymovirales	10239|Viruses	S	Viral coat protein	-	-	-	-	-	-	-	-	-	-	-	-	-
CSDaVgp1	652669.PRO_0000402497	0.0	1814.0	4QBWT@10239|Viruses,4R11N@439488|ssRNA viruses,4R0S0@35278|ssRNA positive-strand viruses  no DNA stage,4R1MJ@675063|Tymovirales	10239|Viruses	A	T=3 icosahedral viral capsid	-	-	-	-	-	-	-	-	-	-	-	-	-
CTVgp04	478555.MVP1_BYVU	5.03e-145	439.0	4QE5G@10239|Viruses,4R125@439488|ssRNA viruses,4R0RP@35278|ssRNA positive-strand viruses  no DNA stage	10239|Viruses	R	Hsp70 protein	-	-	-	-	-	-	-	-	-	-	-	-	-
M699_gp1	693989.RDRP_PEMVW	6.4e-238	723.0	4QE5Y@10239|Viruses,4R11I@439488|ssRNA viruses,4R0RR@35278|ssRNA positive-strand viruses  no DNA stage	10239|Viruses	A	Viral RNA-directed RNA-polymerase	-	-	-	-	-	-	-	-	-	-	-	-	-
M699_gp4	693989.MCAPS_PEMVW	3.29e-95	304.0	4QDVK@10239|Viruses,4R12A@439488|ssRNA viruses,4R0RV@35278|ssRNA positive-strand viruses  no DNA stage	10239|Viruses	S	Potato leaf roll virus readthrough protein	-	-	-	-	-	-	-	-	-	-	-	-	-
VC59_gp1	651357.RDRP_ICRSV	0.0	2761.0	4QB47@10239|Viruses,4R10F@439488|ssRNA viruses,4R0R8@35278|ssRNA positive-strand viruses  no DNA stage,4R1MI@675063|Tymovirales	10239|Viruses	A	helicase activity	-	GO:0003674,GO:0003824,GO:0006508,GO:0006807,GO:0008150,GO:0008152,GO:0008233,GO:0008234,GO:0016032,GO:0016787,GO:0019058,GO:0019079,GO:0019538,GO:0039690,GO:0039694,GO:0043170,GO:0044238,GO:0044403,GO:0044419,GO:0051704,GO:0070011,GO:0071704,GO:0140096,GO:1901564	-	-	-	-	-	-	-	-	-	-	-
VC59_gp2	651357.TGB1_ICRSV	2.64e-108	317.0	4QB58@10239|Viruses,4R110@439488|ssRNA viruses,4R0QV@35278|ssRNA positive-strand viruses  no DNA stage,4R1MM@675063|Tymovirales	10239|Viruses	A	host cell cytoplasm	-	GO:0005575,GO:0018995,GO:0020002,GO:0030430,GO:0033643,GO:0033644,GO:0033646,GO:0033647,GO:0033648,GO:0042025,GO:0043656,GO:0043657,GO:0044094,GO:0044156,GO:0044196,GO:0044215,GO:0044216,GO:0044217,GO:0044218,GO:0044219,GO:0044279	-	-	-	-	-	-	-	-	-	-	-
VC59_gp3	651357.TGB2_ICRSV	3.11e-51	164.0	4QDMB@10239|Viruses,4R15U@439488|ssRNA viruses,4R0QP@35278|ssRNA positive-strand viruses  no DNA stage,4R1MN@675063|Tymovirales	10239|Viruses	S	host cell endoplasmic reticulum membrane	-	-	-	-	-	-	-	-	-	-	-	-	-
VC59_gp5	651357.CAPSD_ICRSV	9.3e-184	516.0	4QEY2@10239|Viruses,4R15R@439488|ssRNA viruses,4R0SG@35278|ssRNA positive-strand viruses  no DNA stage,4R1MK@675063|Tymovirales	10239|Viruses	S	Viral coat protein	-	-	-	-	-	-	-	-	-	-	-	-	-
B1786_gp1	11988.RDRP_TCV	2.52e-210	619.0	4QHMQ@10239|Viruses,4R133@439488|ssRNA viruses,4R0RY@35278|ssRNA positive-strand viruses  no DNA stage	10239|Viruses	A	Viral RNA dependent RNA polymerase	-	-	-	-	-	-	-	-	-	-	-	-	-
ClGMV_gp1	223303.CAPSD_PHUV	2.38e-172	481.0	4QASI@10239|Viruses,4QUM7@29258|ssDNA viruses	10239|Viruses	L	Geminivirus coat protein/nuclear export factor BR1 family	-	GO:0005575,GO:0018995,GO:0033643,GO:0033646,GO:0033647,GO:0033648,GO:0042025,GO:0043656,GO:0043657,GO:0044215,GO:0044216,GO:0044217	-	-	-	-	-	-	-	-	-	-	-
ClGMV_gp2	223310.REN_PYMVV	4.64e-41	140.0	4QDXN@10239|Viruses,4QUN0@29258|ssDNA viruses	10239|Viruses	S	Geminivirus AL3 protein	-	GO:0008150,GO:0016032,GO:0019058,GO:0019079,GO:0039682,GO:0039684,GO:0039687,GO:0039693,GO:0044403,GO:0044419,GO:0051704	-	-	-	-	-	-	-	-	-	-	-
ClGMV_gp3	345184.TRAP_CALCV	2.92e-38	132.0	4QF08@10239|Viruses,4QUM4@29258|ssDNA viruses	10239|Viruses	L	Geminivirus AL2 protein	-	-	-	-	-	-	-	-	-	-	-	-	-
CLCVSDa_gp1	291603.REP1_FBNY1	1.48e-66	217.0	4QB1C@10239|Viruses,4QUKV@29258|ssDNA viruses	10239|Viruses	S	ATPase activity, uncoupled	-	GO:0008150,GO:0016032,GO:0019058,GO:0019079,GO:0039682,GO:0039684,GO:0039687,GO:0039693,GO:0044403,GO:0044419,GO:0051704	-	-	-	-	-	-	-	-	-	-	-
CleYMV_gp1	31600.AV2_ICMV	3.92e-55	174.0	4QG14@10239|Viruses,4QUM3@29258|ssDNA viruses	10239|Viruses	S	modulation by virus of host morphology or physiology	-	-	-	-	-	-	-	-	-	-	-	-	-
CleYMV_gp2	31600.CAPSD_ICMV	7.35e-174	486.0	4QASI@10239|Viruses,4QUM7@29258|ssDNA viruses	10239|Viruses	L	Geminivirus coat protein/nuclear export factor BR1 family	-	GO:0005575,GO:0018995,GO:0033643,GO:0033646,GO:0033647,GO:0033648,GO:0042025,GO:0043656,GO:0043657,GO:0044215,GO:0044216,GO:0044217	-	-	-	-	-	-	-	-	-	-	-
CleYMV_gp3	31600.REN_ICMV	2.78e-66	204.0	4QDXN@10239|Viruses,4QUN0@29258|ssDNA viruses	10239|Viruses	S	Geminivirus AL3 protein	-	GO:0008150,GO:0016032,GO:0019058,GO:0019079,GO:0039682,GO:0039684,GO:0039687,GO:0039693,GO:0044403,GO:0044419,GO:0051704	-	-	-	-	-	-	-	-	-	-	-
CleYMV_gp4	31600.TRAP_ICMV	3.89e-62	193.0	4QF08@10239|Viruses,4QUM4@29258|ssDNA viruses	10239|Viruses	L	Geminivirus AL2 protein	-	-	-	-	-	-	-	-	-	-	-	-	-
CleYMV_gp5	223353.Q6LDC7_TLCVA	9.83e-205	573.0	4QB6C@10239|Viruses,4QUKM@29258|ssDNA viruses	10239|Viruses	J	Geminivirus Rep catalytic domain	-	GO:0008150,GO:0016032,GO:0019058,GO:0019079,GO:0039682,GO:0039684,GO:0039687,GO:0039693,GO:0044403,GO:0044419,GO:0051701,GO:0051704	-	-	-	-	-	-	-	-	-	-	-
D1T06_gp1	66366.AV2_TYLCI	2.93e-64	197.0	4QG14@10239|Viruses,4QUM3@29258|ssDNA viruses	10239|Viruses	S	modulation by virus of host morphology or physiology	-	-	-	-	-	-	-	-	-	-	-	-	-
D1T06_gp2	223353.CAPSD_TLCVA	3.42e-161	454.0	4QASI@10239|Viruses,4QUM7@29258|ssDNA viruses	10239|Viruses	L	Geminivirus coat protein/nuclear export factor BR1 family	-	GO:0005575,GO:0018995,GO:0033643,GO:0033646,GO:0033647,GO:0033648,GO:0042025,GO:0043656,GO:0043657,GO:0044215,GO:0044216,GO:0044217	-	-	-	-	-	-	-	-	-	-	-
D1T06_gp3	66366.REN_TYLCI	1.47e-61	192.0	4QDXN@10239|Viruses,4QUN0@29258|ssDNA viruses	10239|Viruses	S	Geminivirus AL3 protein	-	GO:0008150,GO:0016032,GO:0019058,GO:0019079,GO:0039682,GO:0039684,GO:0039687,GO:0039693,GO:0044403,GO:0044419,GO:0051704	-	-	-	-	-	-	-	-	-	-	-
D1T06_gp4	223353.TRAP_TLCVA	1.65e-53	171.0	4QF08@10239|Viruses,4QUM4@29258|ssDNA viruses	10239|Viruses	L	Geminivirus AL2 protein	-	-	-	-	-	-	-	-	-	-	-	-	-
D1T06_gp5	223353.Q6LDC7_TLCVA	2.36e-220	612.0	4QB6C@10239|Viruses,4QUKM@29258|ssDNA viruses	10239|Viruses	J	Geminivirus Rep catalytic domain	-	GO:0008150,GO:0016032,GO:0019058,GO:0019079,GO:0039682,GO:0039684,GO:0039687,GO:0039693,GO:0044403,GO:0044419,GO:0051701,GO:0051704	-	-	-	-	-	-	-	-	-	-	-
D1T06_gp6	49267.AC4_TPCTV	1.04e-36	125.0	4QF0R@10239|Viruses,4QUME@29258|ssDNA viruses	10239|Viruses	S	Geminivirus C4 protein	-	-	-	-	-	-	-	-	-	-	-	-	-
FK889_gp1	12219.PRO_0000040416	1.75e-103	317.0	4QB3Y@10239|Viruses,4R11R@439488|ssRNA viruses,4R0RB@35278|ssRNA positive-strand viruses  no DNA stage	10239|Viruses	A	helical viral capsid	-	-	-	-	-	-	-	-	-	-	-	-	-
CliYMV_gp1	12240.RDRP_SHMV	0.0	2409.0	4QB47@10239|Viruses,4R10F@439488|ssRNA viruses,4R0R8@35278|ssRNA positive-strand viruses  no DNA stage	10239|Viruses	A	RNA processing	-	GO:0005575,GO:0008150,GO:0016032,GO:0018995,GO:0019058,GO:0019079,GO:0030430,GO:0033643,GO:0033644,GO:0033646,GO:0033647,GO:0033648,GO:0033655,GO:0039690,GO:0039694,GO:0043656,GO:0043657,GO:0044161,GO:0044162,GO:0044215,GO:0044216,GO:0044217,GO:0044218,GO:0044279,GO:0044403,GO:0044419,GO:0051704	-	-	-	-	-	-	-	-	-	-	-
CliYMV_gp3	12240.MVP_SHMV	9.06e-115	339.0	4QBSG@10239|Viruses,4R11Q@439488|ssRNA viruses,4R0SC@35278|ssRNA positive-strand viruses  no DNA stage	10239|Viruses	L	Viral movement protein (MP)	-	GO:0003674,GO:0003676,GO:0003677,GO:0003690,GO:0005488,GO:0005575,GO:0018995,GO:0020002,GO:0033643,GO:0033644,GO:0033646,GO:0033647,GO:0043656,GO:0043657,GO:0044156,GO:0044163,GO:0044215,GO:0044216,GO:0044217,GO:0044218,GO:0044219,GO:0044279,GO:0097159,GO:1901363	-	-	-	-	-	-	-	-	-	-	-
CliYMV_gp4	12240.CAPSD_SHMV	5.55e-66	205.0	4QEKH@10239|Viruses,4R12G@439488|ssRNA viruses,4R0QH@35278|ssRNA positive-strand viruses  no DNA stage	10239|Viruses	S	Virus coat protein (TMV like)	-	GO:0003674,GO:0005488,GO:0005515,GO:0042802	-	-	-	-	-	-	-	-	-	-	-
ClYMVgp1	12181.RDRP_PMV	0.0	1459.0	4QB47@10239|Viruses,4R10F@439488|ssRNA viruses,4R0R8@35278|ssRNA positive-strand viruses  no DNA stage,4R1MI@675063|Tymovirales	10239|Viruses	A	helicase activity	-	GO:0003674,GO:0003824,GO:0006508,GO:0006807,GO:0008150,GO:0008152,GO:0008233,GO:0008234,GO:0016032,GO:0016787,GO:0019058,GO:0019079,GO:0019538,GO:0039690,GO:0039694,GO:0043170,GO:0044238,GO:0044403,GO:0044419,GO:0051704,GO:0070011,GO:0071704,GO:0140096,GO:1901564	-	-	-	-	-	-	-	-	-	-	-
ClYMVgp2	12181.TGB1_PMV	1.02e-59	195.0	4QB58@10239|Viruses,4R110@439488|ssRNA viruses,4R0QV@35278|ssRNA positive-strand viruses  no DNA stage,4R1MM@675063|Tymovirales	10239|Viruses	A	host cell cytoplasm	-	GO:0005575,GO:0018995,GO:0020002,GO:0030430,GO:0033643,GO:0033644,GO:0033646,GO:0033647,GO:0033648,GO:0042025,GO:0043656,GO:0043657,GO:0044094,GO:0044156,GO:0044196,GO:0044215,GO:0044216,GO:0044217,GO:0044218,GO:0044219,GO:0044279	-	-	-	-	-	-	-	-	-	-	-
ClYMVgp3	28354.TGB2_P1AMV	2.92e-30	111.0	4QDMB@10239|Viruses,4R15U@439488|ssRNA viruses,4R0QP@35278|ssRNA positive-strand viruses  no DNA stage,4R1MN@675063|Tymovirales	10239|Viruses	S	host cell endoplasmic reticulum membrane	-	-	-	-	-	-	-	-	-	-	-	-	-
ClYMVgp5	12181.CAPSD_PMV	1.05e-45	157.0	4QEY2@10239|Viruses,4R15R@439488|ssRNA viruses,4R0SG@35278|ssRNA positive-strand viruses  no DNA stage,4R1MK@675063|Tymovirales	10239|Viruses	S	Viral coat protein	-	-	-	-	-	-	-	-	-	-	-	-	-
ClYVVgp1	12219.PRO_0000040411	2.8e-203	642.0	4QB3Y@10239|Viruses,4R11R@439488|ssRNA viruses,4R0RB@35278|ssRNA positive-strand viruses  no DNA stage	10239|Viruses	A	helical viral capsid	-	-	-	-	-	-	-	-	-	-	-	-	-
KM702_gp1	12187.RDRP_SMYEA	0.0	1436.0	4QB47@10239|Viruses,4R10F@439488|ssRNA viruses,4R0R8@35278|ssRNA positive-strand viruses  no DNA stage,4R1MI@675063|Tymovirales	10239|Viruses	A	helicase activity	-	GO:0003674,GO:0003824,GO:0006508,GO:0006807,GO:0008150,GO:0008152,GO:0008233,GO:0008234,GO:0016032,GO:0016787,GO:0019058,GO:0019079,GO:0019538,GO:0039690,GO:0039694,GO:0043170,GO:0044238,GO:0044403,GO:0044419,GO:0051704,GO:0070011,GO:0071704,GO:0140096,GO:1901564	-	-	-	-	-	-	-	-	-	-	-
KM702_gp3	12187.TGB2_SMYEA	1.89e-17	78.2	4QDMB@10239|Viruses,4R15U@439488|ssRNA viruses,4R0QP@35278|ssRNA positive-strand viruses  no DNA stage,4R1MN@675063|Tymovirales	10239|Viruses	S	host cell endoplasmic reticulum membrane	-	-	-	-	-	-	-	-	-	-	-	-	-
KM702_gp5	12187.CAPSD_SMYEA	4.79e-39	142.0	4QEY2@10239|Viruses,4R15R@439488|ssRNA viruses,4R0SG@35278|ssRNA positive-strand viruses  no DNA stage,4R1MK@675063|Tymovirales	10239|Viruses	S	Viral coat protein	-	-	-	-	-	-	-	-	-	-	-	-	-
CfMMoV_gp1	652599.RDRP_PMVK	0.0	965.0	4QHMQ@10239|Viruses,4R133@439488|ssRNA viruses,4R0RY@35278|ssRNA positive-strand viruses  no DNA stage	10239|Viruses	A	Viral RNA dependent RNA polymerase	-	-	-	-	-	-	-	-	-	-	-	-	-
CfMMoV_gp5	652599.CAPSD_PMVK	7.61e-47	162.0	4QD5V@10239|Viruses,4R11K@439488|ssRNA viruses,4R0QX@35278|ssRNA positive-strand viruses  no DNA stage	10239|Viruses	L	Viral coat protein (S domain)	-	GO:0003674,GO:0003676,GO:0003723,GO:0005198,GO:0005488,GO:0005509,GO:0005575,GO:0008289,GO:0019012,GO:0019028,GO:0019030,GO:0039617,GO:0039660,GO:0043167,GO:0043169,GO:0044423,GO:0046872,GO:0097159,GO:1901363	-	-	-	-	-	-	-	-	-	-	-
CfMVp2	1005059.PRO_0000409861	0.0	1119.0	4QE5Y@10239|Viruses,4R11I@439488|ssRNA viruses,4R0RR@35278|ssRNA positive-strand viruses  no DNA stage	10239|Viruses	A	Viral RNA-directed RNA-polymerase	-	-	-	-	-	-	-	-	-	-	-	-	-
CfMVp4	1005059.PRO_0000409853	6.89e-128	379.0	4QEMN@10239|Viruses,4R10K@439488|ssRNA viruses,4R0QG@35278|ssRNA positive-strand viruses  no DNA stage	10239|Viruses	J	viral process	-	-	-	-	-	-	-	-	-	-	-	-	-
KM707_gp1	291603.REP1_FBNY1	4.39e-73	233.0	4QB1C@10239|Viruses,4QUKV@29258|ssDNA viruses	10239|Viruses	S	ATPase activity, uncoupled	-	GO:0008150,GO:0016032,GO:0019058,GO:0019079,GO:0039682,GO:0039684,GO:0039687,GO:0039693,GO:0044403,GO:0044419,GO:0051704	-	-	-	-	-	-	-	-	-	-	-
KM708_gp3	291603.REP1_FBNY1	1.34e-77	244.0	4QB1C@10239|Viruses,4QUKV@29258|ssDNA viruses	10239|Viruses	S	ATPase activity, uncoupled	-	GO:0008150,GO:0016032,GO:0019058,GO:0019079,GO:0039682,GO:0039684,GO:0039687,GO:0039693,GO:0044403,GO:0044419,GO:0051704	-	-	-	-	-	-	-	-	-	-	-
KM709_gp1	291603.REP1_FBNY1	3.5e-75	238.0	4QB1C@10239|Viruses,4QUKV@29258|ssDNA viruses	10239|Viruses	S	ATPase activity, uncoupled	-	GO:0008150,GO:0016032,GO:0019058,GO:0019079,GO:0039682,GO:0039684,GO:0039687,GO:0039693,GO:0044403,GO:0044419,GO:0051704	-	-	-	-	-	-	-	-	-	-	-
EXK51_gp1	291607.REP2_SCSVF	2.36e-97	294.0	4QB1C@10239|Viruses,4QUKV@29258|ssDNA viruses	10239|Viruses	S	ATPase activity, uncoupled	-	GO:0008150,GO:0016032,GO:0019058,GO:0019079,GO:0039682,GO:0039684,GO:0039687,GO:0039693,GO:0044403,GO:0044419,GO:0051704	-	-	-	-	-	-	-	-	-	-	-
EXL38_gp1	291607.REP2_SCSVF	1.51e-73	234.0	4QB1C@10239|Viruses,4QUKV@29258|ssDNA viruses	10239|Viruses	S	ATPase activity, uncoupled	-	GO:0008150,GO:0016032,GO:0019058,GO:0019079,GO:0039682,GO:0039684,GO:0039687,GO:0039693,GO:0044403,GO:0044419,GO:0051704	-	-	-	-	-	-	-	-	-	-	-
D1P49_gp1	12189.CAPSD_WCMVM	1.74e-16	81.6	4QEY2@10239|Viruses,4R15R@439488|ssRNA viruses,4R0SG@35278|ssRNA positive-strand viruses  no DNA stage,4R1MK@675063|Tymovirales	10239|Viruses	S	Viral coat protein	-	-	-	-	-	-	-	-	-	-	-	-	-
CVNV_gp1	31722.PRO_0000431911	2.54e-229	693.0	4QB47@10239|Viruses,4R10F@439488|ssRNA viruses,4R0R8@35278|ssRNA positive-strand viruses  no DNA stage,4R1MI@675063|Tymovirales	10239|Viruses	A	helicase activity	-	GO:0003674,GO:0003824,GO:0006508,GO:0006807,GO:0008150,GO:0008152,GO:0008233,GO:0008234,GO:0016032,GO:0016787,GO:0019058,GO:0019079,GO:0019538,GO:0039690,GO:0039694,GO:0043170,GO:0044238,GO:0044403,GO:0044419,GO:0051704,GO:0070011,GO:0071704,GO:0140096,GO:1901564	-	-	-	-	-	-	-	-	-	-	-
CVNV_gp3	651356.TGB2_ASPVP	1.18e-27	104.0	4QDMB@10239|Viruses,4R15U@439488|ssRNA viruses,4R0QP@35278|ssRNA positive-strand viruses  no DNA stage,4R1MN@675063|Tymovirales	10239|Viruses	S	host cell endoplasmic reticulum membrane	-	-	-	-	-	-	-	-	-	-	-	-	-
CVNV_gp5	651357.CAPSD_ICRSV	2.68e-18	91.7	4QEY2@10239|Viruses,4R15R@439488|ssRNA viruses,4R0SG@35278|ssRNA positive-strand viruses  no DNA stage,4R1MK@675063|Tymovirales	10239|Viruses	S	Viral coat protein	-	-	-	-	-	-	-	-	-	-	-	-	-
CA801_gp1	1775456.A0A0U2NLG8_9RHAB	3.9e-305	832.0	4QG0R@10239|Viruses,4R16E@439488|ssRNA viruses,4R0UZ@35301|ssRNA negative-strand viruses,4QP5N@11157|Mononegavirales	10239|Viruses	S	viral nucleocapsid	-	-	-	-	-	-	-	-	-	-	-	-	-
CA801_gp2	1775456.A0A0U3H0W0_9RHAB	4.31e-194	539.0	4QB9F@10239|Viruses,4R147@439488|ssRNA viruses,4R0WD@35301|ssRNA negative-strand viruses,4QP59@11157|Mononegavirales	10239|Viruses	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CA801_gp3	1775456.A0A0U3GZV2_9RHAB	2.11e-139	393.0	4QG2S@10239|Viruses,4R13U@439488|ssRNA viruses,4R0V3@35301|ssRNA negative-strand viruses,4QP6N@11157|Mononegavirales	10239|Viruses	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CA801_gp4	1775456.A0A0U3FMI9_9RHAB	2.08e-117	336.0	4QECF@10239|Viruses,4R11P@439488|ssRNA viruses,4R0V4@35301|ssRNA negative-strand viruses,4QP6P@11157|Mononegavirales	10239|Viruses	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CA801_gp5	1775456.A0A0U3HTB9_9RHAB	0.0	1009.0	4QETE@10239|Viruses,4R14K@439488|ssRNA viruses,4R0TF@35301|ssRNA negative-strand viruses,4QP5K@11157|Mononegavirales	10239|Viruses	S	integral to membrane	-	-	-	-	-	-	-	-	-	-	-	-	-
CA801_gp6	1775456.A0A0U3FUX5_9RHAB	0.0	4162.0	4QB8M@10239|Viruses,4R12Q@439488|ssRNA viruses,4R0V2@35301|ssRNA negative-strand viruses,4QP5T@11157|Mononegavirales	10239|Viruses	L	ATP binding	-	GO:0005575,GO:0008150,GO:0016032,GO:0018995,GO:0019012,GO:0019013,GO:0019028,GO:0019058,GO:0019079,GO:0019080,GO:0019083,GO:0030430,GO:0033643,GO:0033646,GO:0033647,GO:0033648,GO:0039689,GO:0039694,GO:0039696,GO:0039697,GO:0042025,GO:0043656,GO:0043657,GO:0044215,GO:0044216,GO:0044217,GO:0044403,GO:0044419,GO:0044423,GO:0051704	-	-	-	-	-	-	-	-	-	-	-
G357_gp1	12219.PRO_0000040411	1.5e-221	694.0	4QB3Y@10239|Viruses,4R11R@439488|ssRNA viruses,4R0RB@35278|ssRNA positive-strand viruses  no DNA stage	10239|Viruses	A	helical viral capsid	-	-	-	-	-	-	-	-	-	-	-	-	-
BHT39_gp1	1795998.A0A140CTM6_9CIRC	5.32e-148	424.0	4QHM9@10239|Viruses	10239|Viruses	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
BHT39_gp2	1795998.A0A140CTM7_9CIRC	2.84e-239	658.0	4QB6C@10239|Viruses	10239|Viruses	L	Geminivirus Rep catalytic domain	-	GO:0008150,GO:0016032,GO:0019058,GO:0019079,GO:0039682,GO:0039684,GO:0039687,GO:0039693,GO:0044403,GO:0044419,GO:0051701,GO:0051704	-	-	-	-	-	-	-	-	-	-	-
I866_gp1	66366.AV2_TYLCI	1.8e-52	167.0	4QG14@10239|Viruses,4QUM3@29258|ssDNA viruses	10239|Viruses	S	modulation by virus of host morphology or physiology	-	-	-	-	-	-	-	-	-	-	-	-	-
I866_gp2	31600.CAPSD_ICMV	1.09e-173	485.0	4QASI@10239|Viruses,4QUM7@29258|ssDNA viruses	10239|Viruses	L	Geminivirus coat protein/nuclear export factor BR1 family	-	GO:0005575,GO:0018995,GO:0033643,GO:0033646,GO:0033647,GO:0033648,GO:0042025,GO:0043656,GO:0043657,GO:0044215,GO:0044216,GO:0044217	-	-	-	-	-	-	-	-	-	-	-
I866_gp4	10818.REN_CLVK	1.91e-57	181.0	4QDXN@10239|Viruses,4QUN0@29258|ssDNA viruses	10239|Viruses	S	Geminivirus AL3 protein	-	GO:0008150,GO:0016032,GO:0019058,GO:0019079,GO:0039682,GO:0039684,GO:0039687,GO:0039693,GO:0044403,GO:0044419,GO:0051704	-	-	-	-	-	-	-	-	-	-	-
I866_gp5	66366.TRAP_TYLCI	9.19e-63	195.0	4QF08@10239|Viruses,4QUM4@29258|ssDNA viruses	10239|Viruses	L	Geminivirus AL2 protein	-	-	-	-	-	-	-	-	-	-	-	-	-
I866_gp6	223353.Q6LDC7_TLCVA	3.51e-110	325.0	4QB6C@10239|Viruses,4QUKM@29258|ssDNA viruses	10239|Viruses	J	Geminivirus Rep catalytic domain	-	GO:0008150,GO:0016032,GO:0019058,GO:0019079,GO:0039682,GO:0039684,GO:0039687,GO:0039693,GO:0044403,GO:0044419,GO:0051701,GO:0051704	-	-	-	-	-	-	-	-	-	-	-
I866_gp7	31600.AC4_ICMV	5.21e-35	122.0	4QF0R@10239|Viruses,4QUME@29258|ssDNA viruses	10239|Viruses	S	Geminivirus C4 protein	-	-	-	-	-	-	-	-	-	-	-	-	-
D1Q44_gp02	651355.PRO_0000402512	5.09e-154	491.0	4QB47@10239|Viruses,4R10F@439488|ssRNA viruses,4R0R8@35278|ssRNA positive-strand viruses  no DNA stage	10239|Viruses	A	RNA processing	-	GO:0005575,GO:0008150,GO:0016032,GO:0018995,GO:0019058,GO:0019079,GO:0030430,GO:0033643,GO:0033644,GO:0033646,GO:0033647,GO:0033648,GO:0033655,GO:0039690,GO:0039694,GO:0043656,GO:0043657,GO:0044161,GO:0044162,GO:0044215,GO:0044216,GO:0044217,GO:0044218,GO:0044279,GO:0044403,GO:0044419,GO:0051704	-	-	-	-	-	-	-	-	-	-	-
